uid;Shape_Leng;from;to;y_start;x_start;y_end;x_end
1062;382.2506419;'36.3467597078839,59.4631445370823';'36.3498430960097,59.4650359046858';36.34675971;59.46314454;36.3498431;59.4650359
1063;249.6517383;'36.3446643190141,59.4621334978856';'36.346759707974,59.4631445370851';36.34466432;59.4621335;36.34675971;59.46314454
1064;173.4418583;'36.3432085715494,59.4614311277841';'36.3446643190141,59.4621334978856';36.3432295;59.4613868;36.34468708;59.4620826
1065;139.0641452;'36.3502197330737,59.4653580454611';'36.3501642532974,59.4667366823378';36.35021973;59.46535805;36.35016425;59.46673668
1066;50.94596856;'36.3498430960097,59.4650359046858';'36.3502197330737,59.4653580454611';36.3498431;59.4650359;36.35021973;59.46535805
1067;175.2797845;'36.3493491709376,59.5697991274891';'36.3496781739841,59.5717067738589';36.34934917;59.56979913;36.34967817;59.57170677
1068;250.4431168;'36.3496781740737,59.5717067738841';'36.3497614228224,59.5744893822512';36.34967817;59.57170677;36.34976142;59.57448938
1069;716.7684937;'36.3497614228224,59.5744893822512';'36.3475537621347,59.5818725127133';36.34976142;59.57448938;36.34755376;59.58187251
1070;255.9656408;'36.3485988164332,59.5671038938416';'36.3493491652263,59.5697991039044';36.34859882;59.56710389;36.34934917;59.5697991
1071;399.9877677;'36.3450476137591,59.5037090730576';'36.345142334804,59.5081614394299';36.34504761;59.50370907;36.34514233;59.50816144
1072;337.5221354;'36.3451423347141,59.5081614394159';'36.3451198396546,59.5119203695752';36.34514233;59.50816144;36.34511984;59.51192037
1073;1315.122155;'36.3451026099873,59.5151426690669';'36.3450651051629,59.5297891777255';36.34510261;59.51514267;36.34506511;59.52978918
1074;289.3352483;'36.3451198396546,59.5119203695752';'36.3451026099873,59.5151426690669';36.34511984;59.51192037;36.34510261;59.51514267
1075;593.5511098;'36.3450624526276,59.5331622504597';'36.3450569780333,59.5397726339801';36.34506245;59.53316225;36.34505698;59.53977263
1076;302.8698434;'36.3450651051629,59.5297891777255';'36.3450624526276,59.5331622504597';36.34506511;59.52978918;36.34506245;59.53316225
1077;630.2460651;'36.3450528923963,59.5444402596517';'36.345662775472,59.5514048194703';36.34505289;59.54444026;36.34566278;59.55140482
1078;169.1107956;'36.3450545628503,59.5425568783276';'36.3450528923963,59.5444402596517';36.34505456;59.54255688;36.34505289;59.54444026
1079;249.9999263;'36.3450569780333,59.5397726339801';'36.3450545628503,59.5425568783276';36.34505698;59.53977263;36.34505456;59.54255688
1080;291.8923569;'36.34709524923,59.559781563579';'36.3475855272884,59.5629752601668';36.34709525;59.55978156;36.34758553;59.56297526
1081;148.6433811;'36.3468139843314,59.5581630263153';'36.34709524923,59.559781563579';36.34681398;59.55816303;36.34709525;59.55978156
1082;347.2096637;'36.3461498607202,59.554384264869';'36.3468139844215,59.5581630263182';36.34614986;59.55438426;36.34681398;59.55816303
1083;272.9337236;'36.345662775472,59.5514048194703';'36.3461498605403,59.554384264852';36.34566278;59.55140482;36.34614986;59.55438426
1084;462.1266332;'36.3482250188312,59.4688102738349';'36.3465712631975,59.4733801671372';36.34822502;59.46881027;36.34657126;59.47338017
1085;183.6630811;'36.3088240616174,59.6578085635462';'36.3078444069059,59.6594561042434';36.30882406;59.65780856;36.30784441;59.6594561
1086;60.70031901;'36.3067399884595,59.6613133739628';'36.3064162016622,59.6618578582183';36.30673999;59.66131337;36.3064162;59.66185786
1087;235.056658;'36.2630088696712,59.6510440470584';'36.2615449398866,59.6491646807611';36.26300887;59.65104405;36.26154494;59.64916468
1088;196.0762912;'36.2572448497069,59.6225449761228';'36.2562909276583,59.6207091786965';36.25724485;59.62254498;36.25629093;59.62070918
2000;128.5774111;'36.3244302967377,59.6304232210471';'36.3250298464844,59.6291985020756';36.3244303;59.63042322;36.32502985;59.6291985
2001;188.1914037;'36.3453731847496,59.5052713289654';'36.3456876744843,59.5032223889829';36.34537318;59.50527133;36.34568767;59.50322239
2002;140.2380601;'36.3460677740225,59.5013003715224';'36.3460435037039,59.4997420757159';36.34606777;59.50130037;36.3460435;59.49974208
2003;178.2624286;'36.3456876744843,59.5032223889829';'36.3460677740225,59.5013003715224';36.34571452;59.50324349;36.34610616;59.5013016
2004;234.8591576;'36.3608681829552,59.4824342637562';'36.3617749398645,59.4847907927012';36.36086818;59.48243426;36.36177494;59.48479079
2005;225.0832581;'36.3621456472689,59.4859570982076';'36.3631745446359,59.4881124582408';36.36214565;59.4859571;36.36317454;59.48811246
2006;410.5011127;'36.3467422738323,59.4882426625154';'36.3468044127917,59.4836717242711';36.34674227;59.48824266;36.34680441;59.48367172
2007;500.0120436;'36.3464236474056,59.4937951393962';'36.3467422738323,59.4882426625154';36.34642365;59.49379514;36.34674227;59.48824266
2008;51.83879593;'36.3463638052197,59.4943677298551';'36.3464236473157,59.4937951393822';36.34637458;59.49437482;36.34644522;59.49380202
2009;251.1707532;'36.3460695140482,59.4971413654815';'36.3463638052197,59.4943677298551';36.34606951;59.49714137;36.34636381;59.49436773
2010;286.070575;'36.3468044127917,59.4836717242711';'36.3469312740066,59.4804898251165';36.34680441;59.48367172;36.34693127;59.48048983
2011;396.0348893;'36.3469612394309,59.4769034665102';'36.3469979434867,59.4724928098666';36.34696124;59.47690347;36.34699794;59.47249281
2012;176.5280214;'36.3469448261778,59.4788694618256';'36.3469612394309,59.4769034665102';36.34694483;59.47886946;36.34696124;59.47690347
2013;145.4936785;'36.3469312740064,59.4804898251276';'36.3469448261778,59.4788694618256';36.34693127;59.48048983;36.34694483;59.47886946
2014;293.856246;'36.3469979434867,59.4724928098666';'36.3479609227551,59.469519834203';36.34699794;59.47249281;36.34796092;59.46951983
2015;173.7187355;'36.34915017782,59.4681654415334';'36.3503483246327,59.4669204424931';36.34915018;59.46816544;36.35034832;59.46692044
2016;179.5086208;'36.3479609227553,59.4695198341919';'36.34915017782,59.4681654415334';36.34796092;59.46951983;36.34915018;59.46816544
2017;118.4592819;'36.3517287032603,59.4669651492144';'36.352508634811,59.4678658746525';36.35165094;59.46703018;36.35246263;59.46790985
2018;104.062668;'36.3582192932172,59.4774745368291';'36.3587437605138,59.47843537401';36.35813709;59.47754807;36.35867959;59.47851525
2019;1074.796089;'36.352508634811,59.4678658746525';'36.3582192932172,59.4774745368291';36.35250863;59.46786587;36.35821929;59.47747454
2020;56.85423799;'36.3587437605138,59.47843537401';'36.3590107653317,59.47897550813';36.35874376;59.47843537;36.35901077;59.47897551
2021;100.9793174;'36.3590107653317,59.47897550813';'36.3593585607867,59.480012976721';36.35901077;59.47897551;36.35935856;59.48001298
2022;85.64826912;'36.3741770578652,59.5044315424035';'36.3747900475676,59.5050109485081';36.37417706;59.50443154;36.37479005;59.50501095
2023;123.8190558;'36.3733467146295,59.5035109855405';'36.3741770578652,59.5044315424035';36.37334671;59.50351099;36.37417706;59.50443154
2024;308.9192665;'36.3763530854273,59.5067301036622';'36.3780123317027,59.5094716326748';36.37635309;59.5067301;36.37801233;59.50947163
2025;186.986804;'36.3780123317027,59.5094716326748';'36.3786295383471,59.5114100033396';36.37801233;59.50947163;36.37862954;59.51141
2026;366.0115174;'36.3786295383471,59.5114100033396';'36.3802147832243,59.5149706433989';36.37862954;59.51141;36.38021478;59.51497064
2027;323.1098781;'36.3802147832243,59.5149706433989';'36.3818475042842,59.5179493052495';36.38021478;59.51497064;36.3818475;59.51794931
2028;102.2287073;'36.3818475042842,59.5179493052495';'36.3823179649053,59.5189285744976';36.3818475;59.51794931;36.38231796;59.51892857
2029;293.9054263;'36.3823179803689,59.5189286062172';'36.3819475710547,59.5219165102591';36.38231798;59.51892861;36.38194757;59.52191651
2030;340.0022501;'36.3498926419452,59.5715009845781';'36.3490786003285,59.5678559950091';36.34989264;59.57150098;36.3490786;59.567856
2031;209.7290026;'36.3500164810792,59.573828892053';'36.3498926419452,59.5715009845781';36.35001648;59.57382889;36.34989264;59.57150098
2032;515.3600062;'36.3490273783303,59.579393416488';'36.3500164810794,59.5738288920418';36.34902738;59.57939342;36.35001648;59.57382889
2033;131.0742866;'36.3490786003285,59.5678559950091';'36.3486484004275,59.5664964831718';36.3490786;59.567856;36.3486484;59.56649648
2034;247.1084508;'36.3486484004272,59.5664964831829';'36.3479371607695,59.5638959647048';36.3486484;59.56649648;36.34793716;59.56389596
2035;129.4677165;'36.2540055438718,59.6169138865201';'36.2546731082815,59.618094665866';36.25400554;59.61691389;36.25467311;59.61809467
2036;515.5411429;'36.2546731082815,59.618094665866';'36.2571683158433,59.622931623743';36.25467311;59.61809467;36.25716832;59.62293162
2037;65.85244984;'36.2571683158433,59.622931623743';'36.2574596345479,59.6235694323193';36.25716832;59.62293162;36.25745963;59.62356943
2038;277.8584414;'36.2574596345479,59.6235694323193';'36.2580557743994,59.62654766208';36.25745963;59.62356943;36.25805577;59.62654766
2039;255.3579875;'36.2582231978947,59.6293194966433';'36.2583942348087,59.6321522716857';36.2582232;59.6293195;36.25839423;59.63215227
2040;585.009198;'36.2585616171465,59.6349256212895';'36.2589679561888,59.6414139322';36.25856162;59.63492562;36.25896796;59.64141393
2041;250.0004165;'36.2583942348087,59.6321522716857';'36.2585616170564,59.6349256212865';36.25839423;59.63215227;36.25856162;59.63492562
